ID,I6N
587,1.58100845
588,1.899422367
589,1.28990116
590,1.77111785
591,0
592,2.150775267
593,2.839538933
594,2.358639183
595,0
596,3.161348133
597,2.600080483
598,2.567633717
599,2.382329583
600,1.2880718
601,1.871957233
602,2.671657833
603,3.181756133
604,2.814108117
605,1.28872358
606,3.311776533
607,2.11232695
608,0
609,0
610,1.2954766
611,1.2954766
612,1.63755234
613,1.2880718
614,1.2954766
615,3.242706317
616,3.188785125
617,3.10439065
618,2.63336178
619,1.2880718
620,0
621,0
622,1.465619067
623,1.639956333
624,3.109490467
625,3.250796883
626,1.965507033
627,1.282907933
628,1.2954766
629,1.375175025
630,3.35273715
631,1.813521783
632,1.28872358
633,2.490433133
634,1.941014817
635,2.28781454
636,1.879788333
637,3.019638875
638,1.654482683
639,1.2880718
640,3.236654483
641,2.91266344
642,0
643,1.2880718
644,1.50295788
645,1.8003139
646,2.90848115
647,0
648,0
649,1.2880718
650,2.058390183
