p,t1,t2,t3,t4,t5,t6,t7,t8
DIP-46384N,0.005583917,0.002047655,0.000643539,0.003793975,0.007295984,0.001913395,0.002038457,0.002687176
DIP-46385N,0.004140988,0.000919432,0.000605417,0.002259288,0.006499214,0.00176864,0.000933759,0.00089165
DIP-46504N,0.004666827,0.002104768,0.001356515,0.008881103,0.009253966,0.002610849,0.003501061,0.004772394
DIP-47348N,0.003355358,0.00107111,0.000926732,0.004567424,0.006781478,0.002202904,0.002976489,0.001512418
DIP-47481N,0.03565068,0.016166831,0.004699014,0.011234019,0.049349721,0.014459683,0.010814079,0.006174767
DIP-47759N,0,0,0,0,0,0,0,0
DIP-47760N,0,0,0,0,0,0,0,0
DIP-47761N,0,0,0,0,0,0,0,0
DIP-47828N,0.036414399,0.009107243,0.001467704,0.004291968,0.060032871,0.007881238,0.003097216,0.003274084
DIP-47829N,1,1,1,0.871838015,0.923506503,0.922923362,0.961793885,0.913509055
DIP-47830N,0.219923065,0.059190994,0.016452903,0.012879974,0.218350722,0.108194961,0.051293694,0.010362134
DIP-47831N,0.015083461,0.002389399,0.000240533,0.002183299,0.016607117,0.004601885,0.001178416,0.00074022
DIP-47832N,0.03577901,0.010548185,0.0052831,0.010934137,0.038702301,0.017511376,0.012123906,0.007326951
DIP-47833N,0.185032975,0.028604439,0.00804469,0.031735866,0.271748607,0.065587059,0.026149517,0.025693239
DIP-47834N,0.219882375,0.073905647,0.033577028,0.076772353,0.27783693,0.172452909,0.061417604,0.06957688
DIP-47835N,0.006986156,0.001823883,0.001189503,0.005803587,0.006027583,0.0028543,0.003139951,0.004749821
DIP-47836N,0.043794935,0.009973307,0.000763352,0.005441287,0.003133486,0.008018097,0.002324781,0.0025602
DIP-47837N,0.013393262,0.00385094,0.001171804,0.006431846,0.020969701,0.004980879,0.003186959,0.003607983
DIP-47838N,1,1,1,0.871838015,0.923506503,0.922923362,0.961793885,0.913509055
DIP-47839N,1,1,1,0.871838015,0.923506503,0.922923362,0.961793885,0.913509055
DIP-47840N,0.007230296,0.002547631,0.001064245,0.004287897,0.01345934,0.002421352,0.002502131,0.002373029
DIP-47841N,0.003630798,0.001018678,0.000640362,0.003232206,0.006970845,0.001563351,0.001379271,0.001416481
DIP-47842N,0.107349549,0.021590729,0.001907925,0.002883475,0.032814063,0.003363574,0.001193374,0.000391272
DIP-47843N,0.046834163,0.032956291,0.009115742,0.022706857,0.059843504,0.039369343,0.024144179,0.020293492
DIP-47844N,0.055479218,0.019783699,0.010013883,0.021968687,0.071355581,0.02815743,0.025741398,0.021121183
DIP-47845N,0.07024342,0.037459822,0.028447778,0.027359768,0.056174075,0.05581085,0.084102384,0.016899016
DIP-47846N,0.013393262,0.00385094,0.001171804,0.006431846,0.020969701,0.004980879,0.003186959,0.003607983
DIP-47847N,0.027528334,0.007583908,0.003337053,0.014140562,0.021480635,0.010418394,0.006358961,0.012108751
DIP-47848N,0.002607289,0.002822899,0.001592963,0.010140334,0.006477776,0.00138833,0.00365277,0.003951287
DIP-47849N,0.005342907,0.001285519,0.00054778,0.006286654,0.004805631,0.001426492,0.002136748,0.002070169
DIP-47850N,0.006970506,0.00334441,0.002253748,0.006468483,0.009296842,0.00296484,0.002852558,0.005223862
DIP-47851N,0.009512065,0.003835023,0.002333623,0.006807715,0.010172217,0.005819141,0.005988235,0.00341893
DIP-47852N,0.013393262,0.00385094,0.001171804,0.006431846,0.020969701,0.004980879,0.003186959,0.003607983
DIP-47853N,0.027991574,0.009752343,0.003450966,0.007940751,0.031881521,0.011988325,0.006197636,0.00173439
DIP-47854N,0.007333586,0.002902483,0.001568002,0.004951435,0.006113334,0.00368335,0.002605764,0.00414222
DIP-47855N,0.069147921,0.014509607,0.007338976,0.014532714,0.057803344,0.020935484,0.021866406,0.014861766
DIP-47856N,0.008973705,0.003130937,0.001290708,0.007868834,0.012533943,0.005125634,0.005638877,0.003315469
DIP-47857N,0.004829587,0.003045735,0.001262117,0.005008427,0.011697871,0.003545175,0.002442302,0.003390714
DIP-47858N,0.009217845,0.004025089,0.001722306,0.003627072,0.013123481,0.005008514,0.001075852,0.000664975
DIP-47859N,0.021919378,0.008272077,0.004217494,0.012835195,0.048077748,0.014058318,0.009174126,0.010144865
DIP-47860N,0.016225911,0.003124383,0.001010238,0.004291968,0.021852222,0.004603201,0.001695509,0.002569606
DIP-47861N,0.020839528,0.010922699,0.006085936,0.012114666,0.027015149,0.020467005,0.015440138,0.009203366
DIP-47862N,0.014689082,0.004110291,0.002668553,0.005796803,0.013584393,0.005248018,0.007054472,0.004673636
