,N6N
1710,1.92916665
1711,2.45223865
1712,6.4037818500000006
1713,0.0
1714,12.254813283333332
1715,6.37997206
1716,2.61272256
1717,1.3125
1718,0.991666655
1719,0.0
1720,1.25000005
1721,0.0
1722,0.0
1723,17.36061792
1724,0.0
1725,1.0616865
1726,1.62500005
1727,1.6351263999999999
1728,0.25
1729,7.2470645
1730,0.4
1731,2.65140634
1732,0.0
1733,0.43174604999999994
1734,0.0
1735,0.33333334
1736,0.44444446666666665
1737,0.7512076999999999
1738,3.3333333
1739,0.0
1740,1.39309765
1741,2.0300973279999996
1742,0.7544643249999999
1743,0.0
1744,5.028054975
1745,3.392857
1746,0.8
1747,2.152564075
1748,0.0
1749,2.2853215999999996
1750,0.0
1751,1.125
1752,1.4166666
1753,0.0
1754,0.0
1755,2.06818175
1756,2.6848484399999997
1757,0.0
1758,0.0
1759,0.0
1760,0.33333334
1761,3.005050466666667
1762,0.0
1763,0.0
1764,3.02857138
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,1.0357143
1770,0.166666675
1771,0.0
1772,1.6
1773,0.4
1774,0.166666675
1775,0.0
1776,0.0
1777,7.3519456000000005
1778,0.25
1779,0.0
1780,0.055555555
1781,0.0
1782,0.0
1783,1.3333334
1784,0.0
1785,1.49333336
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.40000001999999996
1796,0.0
1797,0.0
1798,0.0
1799,1.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,1.30000005
1809,0.0
1810,0.0
1811,0.4800000000000001
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,5.15119075
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.66666668
1830,3.575
1831,0.55357145
1832,0.0
1833,0.0
1834,1.5250016199999998
1835,2.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,1.75
1841,0.0
1842,2.6203283
1843,0.475
1844,1.6
1845,0.8000000000000002
1846,0.0
1847,0.0
1848,0.0
1849,4.0
1850,0.0
1851,0.0
1852,1.6
1853,0.0
1854,0.0
1855,1.314285722
1856,0.0
1857,0.0
1858,0.0
1859,0.6666667
1860,0.0
1861,0.53333336
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.6666667
1874,0.0
1875,0.0
1876,0.0
1877,0.92571432
1878,0.0
1879,0.0
1880,0.14285715
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,1.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.4041666625
1898,0.0
1899,0.0
1900,0.0
1901,0.3
1902,0.0
1903,0.0
1904,3.27016155
1905,0.0
1906,0.6666666400000001
1907,0.8
1908,0.0
1909,0.0
1910,1.0
1911,1.2
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,2.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,1.50000005
1936,0.095238098
1937,0.6000000249999999
1938,0.0
1939,0.86666664
1940,0.0
1941,0.45
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,0.0
1960,0.0
1961,2.756404575
1962,0.5
1963,1.0
1964,2.0828571600000005
1965,0.0
1966,1.0
1967,0.0
1968,0.0
1969,0.0
