,L6N
1313,0.0
1314,0.0
1315,0.0
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,0.0
1324,0.7136363400000001
1325,0.0
1326,3.7
1327,4.14191505
1328,0.0
1329,0.5714286
1330,1.6315384500000003
1331,4.59375
1332,0.38614719333333336
1333,0.6666667
1334,0.0
1335,0.0
1336,0.0
1337,0.0
1338,1.48571424
1339,1.74725275
1340,1.47729786
1341,1.46352944
1342,1.1111111999999999
1343,2.0581818
1344,0.6666667
1345,1.12587415
1346,0.8972148249999998
1347,0.0
1348,1.48758172
1349,1.0
1350,0.0
1351,0.73333334
1352,0.0
1353,5.11393938
1354,0.0
1355,2.3095238
1356,1.4500000000000002
1357,0.6859903500000001
1358,2.038461575
1359,2.0
1360,0.0
1361,0.4111111125
1362,0.0
1363,0.0
1364,0.0
1365,0.0
1366,2.3333333
1367,5.009137040000001
1368,0.51190478
1369,0.0
1370,0.0
1371,0.33333334
1372,1.3005848
1373,0.0
1374,0.0
1375,0.0
1376,1.8641441200000002
1377,0.0
1378,0.0
1379,0.0
1380,0.0
1381,0.0
1382,0.0
1383,0.0
1384,1.375
1385,0.0
1386,1.2
1387,0.60000002
1388,2.8210526000000002
1389,0.6666667
1390,4.16
1391,0.0
1392,0.0
1393,0.0
1394,3.02272725
1395,7.276295
1396,7.96009525
1397,5.56233735
1398,1.0
1399,15.167718749999999
1400,4.8567100199999995
1401,0.0
1402,0.0
1403,0.0
1404,0.0
1405,0.0
1406,0.0
1407,1.1458334
1408,0.0
1409,0.552564124
1410,9.70765425
1411,0.0
1412,3.7848101250000004
1413,2.301923
1414,0.0
1415,0.0
1416,0.78333334
1417,1.842948775
1418,1.2631578500000002
1419,0.0
1420,4.51130425
1421,6.526315725
1422,0.0
1423,1.03977275
1424,0.31111111333333336
1425,1.977848
1426,1.0
1427,0.51
1428,0.8695652
1429,0.0
1430,0.0
1431,0.8888889000000001
1432,0.0
1433,0.0
1434,0.0
1435,0.0
1436,1.2
1437,0.0
1438,0.0
1439,1.37857142
1440,0.571428594
1441,0.53333334
1442,0.0
1443,0.0
1444,2.44308994
1445,0.0
1446,0.293333336
1447,0.916666675
1448,0.0
1449,2.1904762000000004
1450,2.866883075
1451,0.32
1452,0.0
1453,0.0
1454,0.0
1455,0.0
1456,0.0
1457,2.483871
1458,0.0
1459,1.3176100749999997
1460,0.0
1461,1.092857125
1462,0.6666667
1463,5.69565225
1464,1.147969378
1465,1.03333334
1466,0.76
1467,0.2
1468,0.0
1469,0.42500000000000004
1470,0.0
1471,1.0357143
1472,6.323607920000001
1473,3.3777778399999994
1474,1.193421025
1475,1.0948275
1476,1.5952380249999998
1477,0.0
1478,0.0
1479,0.0
1480,5.841643725
1481,0.0
1482,0.0
1483,0.77333334
1484,0.0
1485,0.0
1486,0.22857144
1487,0.0
1488,0.4
1489,0.0
1490,1.2833333599999999
1491,0.0
1492,8.6141616
1493,0.0
1494,0.0
1495,4.5720431
1496,0.0
1497,0.125
1498,0.0
1499,2.0906862999999998
1500,0.0
1501,0.0
1502,0.0
1503,1.0
1504,0.16666666666666666
1505,0.0
1506,1.0
1507,0.17380953249999997
1508,0.0
1509,0.0
1510,1.465909125
1511,0.0
1512,1.0884135799999999
1513,0.61414143
1514,1.0
1515,0.0
1516,0.7767857175
1517,0.0
1518,1.0
1519,0.11111111666666666
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,1.1064363799999999
1526,0.6666667
1527,0.0
1528,0.0
1529,0.68
1530,2.1067252
1531,0.0
1532,7.306486325
1533,3.3601777999999998
1534,0.0
1535,0.0
1536,5.194523374999999
1537,0.0
1538,0.0
1539,0.0
1540,0.625000025
1541,0.0
1542,0.2857143
1543,1.2337164999999999
1544,0.45999999999999996
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,2.2482241750000003
1550,0.0
1551,0.0
1552,0.0
1553,4.3245193749999995
1554,0.0
1555,0.0
1556,2.25636362
1557,4.4211332
1558,0.0
1559,1.5
1560,0.0
1561,0.0
1562,0.0
1563,1.4
1564,1.33333336
1565,0.6666667
1566,0.0
1567,1.0
1568,0.0
1569,0.3
1570,0.892156875
1571,6.9459550000000005
1572,0.0
1573,0.0
1574,0.0
1575,9.6362042
1576,0.0
1577,0.0
1578,0.0
1579,2.8794117249999998
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,6.05375674
1588,0.0
1589,2.4530434800000003
1590,0.0
1591,0.0
1592,1.2137254880000001
1593,3.88771924
1594,0.0
1595,1.6831457666666667
1596,0.4
1597,0.0
1598,0.0
1599,0.0
1600,1.00000005
1601,0.5
1602,0.0
1603,0.0
1604,0.43076925599999993
1605,1.01263156
1606,0.4
1607,0.0
1608,0.58333334
1609,1.32777776
1610,0.0
1611,3.344827575
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.625
1617,0.0
1618,0.9309091
1619,3.2893938599999997
1620,1.19047625
1621,3.00973912
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.6
1627,1.1875
1628,0.5
1629,1.867788475
1630,1.7083334
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.4
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.2
1641,5.8461537
1642,0.0
1643,0.0
1644,0.514285722
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.819047636
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.5
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,1.4285715
1665,1.1041667
1666,0.0
1667,0.42500000000000004
1668,10.265739199999999
1669,5.341954025000001
1670,4.806464499999999
1671,11.262706183333334
1672,5.45454547
1673,6.004956849999999
1674,1.6
1675,4.777777700000001
1676,0.0
1677,2.3101449599999997
1678,0.23809524799999998
1679,0.8
1680,1.0
1681,0.0
1682,5.658119550000001
1683,1.1200000399999999
1684,0.9545454750000001
1685,2.511044086
1686,1.8
1687,3.638095228333333
1688,5.3130938
1689,0.0
1690,0.0
1691,8.70471525
1692,1.2
1693,2.3299999999999996
1694,1.371428625
1695,3.75384605
1696,0.0
1697,0.266666672
1698,0.0
1699,0.970344825
1700,4.426315724999999
1701,0.0
1702,0.243055555
1703,1.0461539
1704,2.0
1705,0.9855769750000001
1706,1.4166667
1707,0.54848485
1708,0.2857143
1709,0.0
1710,1.03125
1711,2.120689625
1712,3.3887195
1713,0.0
1714,8.473597666666667
1715,5.0169936
1716,1.94239344
1717,0.6000000000000001
1718,0.7142857425
1719,0.0
1720,0.95
1721,0.0
1722,0.0
1723,8.175673980000001
1724,0.0
1725,0.980769225
1726,1.2
1727,1.5297619750000002
1728,0.166666675
1729,5.580506783333334
1730,0.32
1731,2.15882354
1732,0.0
1733,0.38
1734,0.0
1735,0.2857143
1736,0.38095239999999997
1737,0.6875
1738,2.5
1739,0.0
1740,1.015625
1741,1.00714286
1742,0.650793675
1743,0.0
1744,4.7259617
1745,3.0769231
1746,0.53333336
1747,1.7
1748,0.0
1749,1.287048184
1750,0.0
1751,0.4
1752,0.8888889000000001
1753,0.0
1754,0.0
1755,1.1442307250000001
1756,1.8417582599999995
1757,0.0
1758,0.0
1759,0.0
1760,0.2857143
1761,2.3260683833333333
1762,0.0
1763,0.0
1764,2.4642858000000003
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.916666675
1770,0.14285715
1771,0.0
1772,1.28
1773,0.32
1774,0.125
1775,0.0
1776,0.0
1777,6.0
1778,0.166666675
1779,0.0
1780,0.05
1781,0.0
1782,0.0
1783,1.0
1784,0.0
1785,0.73333334
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.3
1796,0.0
1797,0.0
1798,0.0
1799,0.8888889599999998
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,1.1071429
1809,0.0
1810,0.0
1811,0.40000001999999996
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,3.265550175
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.46666668
1830,1.6666666
1831,0.4861111125
1832,0.0
1833,0.0
1834,1.3999999600000002
1835,1.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.916666675
1841,0.0
1842,1.829545525
1843,0.383333335
1844,1.3333334
1845,0.6666667
1846,0.0
1847,0.0
1848,0.0
1849,3.05
1850,0.0
1851,0.0
1852,1.2
1853,0.0
1854,0.0
1855,1.0214285740000002
1856,0.0
1857,0.0
1858,0.0
1859,0.5
1860,0.0
1861,0.45714288
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.5
1874,0.0
1875,0.0
1876,0.0
1877,0.216666668
1878,0.0
1879,0.0
1880,0.125
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.6666667
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.2857143
1898,0.0
1899,0.0
1900,0.0
1901,0.24000000000000005
1902,0.0
1903,0.0
1904,3.0089515
1905,0.0
1906,0.4
1907,0.53333336
1908,0.0
1909,0.0
1910,0.6666667
1911,1.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,1.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,1.1875
1936,0.08820513199999999
1937,0.5194805425
1938,0.0
1939,0.5199999999999999
1940,0.0
1941,0.34285716
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,0.0
1960,0.0
1961,1.620129925
1962,0.25
1963,0.6666667
1964,1.8204269
1965,0.0
1966,0.8
1967,0.0
1968,0.0
1969,0.0
1970,0.0
