,I6N
493,1.21456474
494,0.0
495,1.213006375
496,1.2093617749999999
497,1.2440878999999998
498,1.5146845
499,0.0
500,0.0
501,0.0
502,1.5544958
503,2.20738025
504,1.5544958
505,1.5544958
506,1.785553725
507,0.0
508,0.0
509,0.0
510,0.0
511,1.2318444666666668
512,1.8929825999999998
513,0.0
514,0.0
515,0.0
516,1.8302462750000001
517,0.0
518,0.0
519,1.6550834600000002
520,1.6550834600000002
521,0.0
522,0.0
523,1.785553725
524,0.0
525,1.234905325
526,0.0
527,1.2440878999999998
528,1.21456474
529,2.20738025
530,0.0
531,1.341275
532,1.234905325
533,2.63625545
534,0.0
535,0.0
536,1.9603744499999998
537,0.0
538,2.20738025
539,1.234905325
540,0.0
541,1.961107325
542,0.0
543,2.7753157600000002
544,2.56716704
545,1.6604989199999998
546,1.7076403800000002
547,1.7607816
548,1.47023712
549,1.7076403800000002
550,0.0
551,1.961107325
552,2.26604408
553,1.234905325
554,1.2318444666666668
555,1.234905325
556,0.0
557,1.6862114499999998
558,2.6086885000000004
559,0.0
560,1.5544958
561,0.0
562,0.0
563,0.0
564,1.2318444666666668
565,1.234905325
566,1.6134226249999999
567,1.3614665
568,0.0
569,1.6550834600000002
570,0.0
571,0.0
572,1.785553725
573,0.0
574,0.0
575,1.785553725
576,0.0
577,1.234905325
578,0.0
579,1.6550834600000002
580,1.47023712
581,2.25485856
582,0.0
583,1.21456474
584,1.234905325
585,1.234905325
586,1.2071839500000001
587,1.19426086
588,0.0
589,1.234905325
