,LAC
2332,0.0
2333,0.0
2334,0.0
2335,0.0
2336,0.3
2337,0.084102568
2338,4.0307164
2339,0.0
2340,2.530303
2341,0.0
2342,0.0
2343,0.0
2344,0.0
2345,0.0
2346,0.72000002
2347,0.42356521999999996
2348,0.0
2349,0.9400000000000001
2350,0.0
2351,0.066666668
2352,0.0
2353,0.0
2354,0.0
2355,0.0
2356,0.0
2357,0.0
2358,0.0
2359,0.0
2360,0.0
2361,2.08328296
2362,3.8666666666666667
2363,0.0
2364,0.0
2365,0.0
2366,0.6954285839999998
2367,0.8095238160000001
2368,0.128888888
2369,0.6666667
2370,0.0
2371,0.0
2372,1.80428572
2373,2.53333334
2374,0.0
2375,0.0
2376,0.75
2377,0.0
2378,0.0
2379,0.914285722
2380,0.0
2381,0.0
2382,0.0
2383,0.0
2384,0.0
2385,2.0
2386,0.96969698
2387,2.00401336
2388,0.0
2389,0.73333334
2390,0.0
2391,0.0
2392,0.0
2393,0.4
2394,0.9923232400000002
2395,0.898039224
2396,0.0
2397,2.33454542
2398,0.0
2399,0.0
2400,4.05555554
2401,0.406666668
2402,0.24000000000000005
2403,2.1000000200000004
2404,0.0
2405,1.3199999999999998
2406,0.0
2407,0.0
2408,0.0
2409,0.0
2410,0.0
2411,0.0
2412,0.72000002
2413,0.7644444839999999
2414,0.0
2415,0.0
2416,1.244592574
2417,0.0
2418,0.0
2419,0.0
2420,0.0
2421,0.0
2422,0.0
2423,0.0
2424,0.0
2425,0.0
2426,0.98933334
2427,0.43232324
2428,1.18117646
2429,0.0
2430,0.6400000159999999
2431,0.134210528
2432,0.0
2433,1.86666664
2434,0.0
2435,0.0
2436,0.0
2437,0.53333336
2438,2.56820514
2439,0.0
2440,0.0
2441,1.052525278
2442,1.0
2443,0.0
2444,0.0
2445,0.0
2446,0.0
2447,0.0
2448,0.0
2449,0.0
2450,0.723232344
2451,0.177777776
2452,2.84380948
2453,0.0
2454,0.0
2455,1.60000002
2456,1.5200000000000002
2457,0.256060612
2458,0.0
2459,0.0
2460,0.0
2461,0.0
2462,0.0
2463,0.0
2464,0.52
2465,0.0
2466,0.0
2467,0.56666668
2468,0.64
2469,0.0
2470,0.0
2471,1.40000004
2472,0.0
2473,0.0
2474,0.0
2475,0.0
2476,0.0
2477,0.0
2478,0.0
2479,0.0
2480,0.0
2481,0.0
2482,0.0
2483,0.0
2484,0.0
2485,0.05714286
2486,2.4942684799999997
2487,0.164444444
2488,0.6957265079999999
2489,1.0
2490,1.35278488
2491,0.0
2492,4.0
2493,0.23047619199999997
2494,0.0
2495,0.0
2496,0.0
2497,0.0
2498,0.0
2499,2.34853466
2500,0.0
2501,1.0
2502,0.0
2503,0.467532485
2504,2.12
2505,0.20825397199999998
2506,0.0
2507,0.0
2508,3.8190474200000004
2509,0.6956521999999999
2510,0.0
2511,0.0
2512,0.50000002
2513,2.1900433
2514,0.0
2515,0.0
2516,0.05714286
2517,0.0
2518,0.4587412619999999
2519,0.0
2520,0.0
2521,0.11601307250000001
2522,1.311428574
2523,1.8399999999999999
2524,0.0
2525,0.0
2526,0.16
2527,0.49230769199999996
2528,0.0
2529,0.0
2530,1.8051282399999997
2531,0.0
2532,0.0
2533,0.0
2534,0.0
2535,0.7373626480000001
2536,0.0
2537,0.0
2538,3.1093333199999997
2539,0.0
2540,0.0
2541,0.0
2542,1.94666672
2543,0.0
2544,3.5976190000000003
2545,0.0
2546,0.0
2547,0.43492063999999997
2548,2.96464646
2549,0.0
2550,0.0
2551,0.40000000799999996
2552,0.0
2553,0.0
2554,0.58000002
2555,0.44569892400000005
2556,0.46666668
2557,0.71333334
2558,1.1428572000000001
2559,0.42813187599999997
2560,0.0
2561,0.0
2562,1.04349054
2563,0.0
2564,0.0
2565,1.4780952800000002
2566,0.0
2567,0.0
2568,0.0
2569,1.08791644
2570,0.0
2571,1.41333336
2572,2.50329674
2573,0.53333336
2574,0.098195492
2575,0.0
2576,0.0
2577,0.49428572
2578,4.102659900000001
2579,0.0
2580,0.0
2581,0.5
2582,0.0
2583,2.35383642
2584,0.0
2585,1.0198516400000002
2586,0.0
2587,0.428097066
2588,0.0
2589,0.0
2590,0.0
2591,0.0
2592,1.2333333400000002
2593,1.5252174200000002
2594,0.0
2595,1.79777776
2596,0.110197365
2597,0.0
2598,0.0
2599,0.0
2600,0.0
2601,0.0
2602,0.7250000000000001
2603,0.0
2604,0.0625
2605,1.60000002
2606,0.0
2607,0.0
2608,1.55271792
2609,0.0
2610,0.0
2611,0.0
2612,0.0
2613,0.0
2614,0.67878789
2615,0.0
2616,0.0
2617,0.0
2618,0.0
2619,0.0
2620,0.0
2621,0.47111111999999994
2622,0.0
2623,0.0
2624,1.50909088
2625,0.0
2626,0.0
2627,0.0
2628,0.0
2629,0.0
2630,1.5
2631,0.33333334
2632,0.0
2633,0.0
2634,1.45145576
2635,0.0
2636,0.0
2637,0.0
2638,0.0
2639,0.0
2640,1.73352814
2641,0.0
2642,4.842822920000001
2643,0.0
2644,0.0
2645,0.25714286
2646,0.0
2647,1.06666672
2648,0.0
2649,1.43157896
2650,0.0
2651,0.0
2652,0.0
2653,0.0
2654,0.0
2655,0.0
2656,0.0
2657,0.0
2658,2.39285714
2659,0.0
2660,0.5
2661,0.9600000000000002
2662,0.16428572
2663,0.0
2664,0.0
2665,0.0
2666,0.0
2667,3.75
2668,0.0
2669,0.0
2670,1.0
2671,0.6666667
2672,3.4016808
2673,0.0
2674,0.05882353
2675,2.0450217000000004
2676,0.0
2677,0.0
2678,0.0
2679,0.0
2680,1.1885714539999999
2681,0.0
2682,0.267390656
2683,0.0
2684,0.0
2685,0.0
2686,3.53259568
2687,0.0
2688,0.0
2689,0.0
2690,0.0
2691,0.0
2692,0.0
2693,0.0
2694,0.0
2695,0.0
2696,1.30666668
2697,0.0
2698,0.560758102
2699,0.0
2700,0.0
2701,0.0
2702,0.0
2703,3.3952380599999996
2704,0.5
2705,0.0
2706,1.3382068999999999
2707,0.0
2708,0.0
2709,0.0
2710,2.5
2711,0.0
2712,1.08571432
2713,1.18205128
2714,0.0
2715,0.0
2716,0.6666667
2717,1.8666666800000002
2718,1.2
2719,0.40000001999999996
2720,0.85714287
2721,0.0
2722,0.1
2723,1.98333328
2724,0.2
2725,3.99206358
2726,2.38841632
2727,0.0
2728,1.62227922
2729,0.0
2730,0.0
2731,0.15272727599999997
2732,0.0
2733,0.0
2734,1.2
2735,1.68835582
2736,0.79106236
2737,0.0
2738,0.0
2739,0.0
2740,0.6202020399999999
2741,0.0
2742,0.13333334
2743,0.0
2744,0.5
2745,0.654075646
2746,0.20965409
2747,0.8000000199999999
2748,5.90222224
2749,0.750000025
2750,0.0
2751,0.0
2752,0.0
2753,0.0
2754,0.0
2755,1.0
2756,1.02666668
2757,0.0
2758,0.08
2759,0.0
2760,0.0
2761,0.0
2762,0.133333336
2763,0.40888889000000006
2764,1.8399999999999999
2765,1.4
2766,0.200000008
2767,0.0
2768,1.4025973999999999
2769,0.0
2770,0.0
2771,0.544668998
2772,0.0
2773,0.0
2774,0.0
2775,0.0
2776,0.0
2777,0.0
2778,0.0
2779,0.0
2780,0.0
2781,0.0
2782,0.5
2783,0.0
2784,0.0
2785,0.0
2786,0.70930836
2787,0.0
2788,0.0
2789,0.0
2790,0.0
2791,0.42666667599999997
2792,0.0
2793,0.8
2794,0.0
2795,0.0
2796,0.0
2797,0.0
2798,0.0
2799,0.0
2800,1.0
2801,0.0
2802,0.4
2803,0.170833332
2804,0.0
2805,0.0
2806,0.0
2807,0.69761906
2808,4.064798259999999
2809,3.142857
2810,0.0
2811,0.0
2812,3.7384615000000005
2813,4.02777788
2814,2.9
2815,0.0
2816,2.3600000000000003
2817,0.0
2818,5.459944140000001
2819,0.0
2820,0.0
2821,3.0
2822,4.553846259999999
2823,0.0
2824,0.0
2825,0.0
2826,0.0
2827,0.42000000000000004
2828,0.0
2829,0.0
2830,0.0
2831,0.32100251199999996
2832,0.0
2833,0.0
2834,0.0
2835,0.0
2836,2.26818178
2837,0.0
2838,0.0
2839,0.5800000000000001
2840,0.0
2841,1.0666666999999999
2842,0.0
2843,0.0
2844,0.0
2845,0.5
2846,0.0
2847,0.0
2848,0.0
2849,2.27936506
2850,0.40000001999999996
2851,8.75
2852,0.279346082
2853,0.5
2854,0.0
2855,0.0
2856,0.0
2857,2.4647773200000005
2858,0.0
2859,1.67130434
2860,0.0
2861,0.0
2862,0.0
2863,0.0
2864,1.1022222400000001
2865,0.0
2866,0.0
2867,0.0
2868,0.4
2869,0.0
2870,0.723809528
2871,0.8719070420000001
2872,0.0
2873,0.0
2874,0.16307692800000004
2875,0.0
2876,0.0
2877,0.44000000000000006
2878,0.6666667
2879,0.0
2880,0.0
2881,0.0
2882,1.4626177200000001
2883,0.0
2884,1.0
2885,0.346666672
2886,0.0
2887,0.75
2888,0.5207290039999999
2889,0.0
2890,0.0
2891,0.0
2892,0.7366666719999999
2893,0.0
2894,1.7
2895,0.0
2896,1.2
2897,0.0
2898,0.0
2899,0.0
2900,1.4
2901,0.0
2902,0.0
2903,1.0
2904,0.0
2905,0.0
2906,0.76190478
2907,0.0
2908,3.49781562
2909,0.18661283599999998
2910,0.0
2911,0.0
2912,0.9865079800000001
2913,0.0
2914,0.0
2915,0.428206546
2916,0.0
2917,0.0
2918,0.0
2919,2.16
2920,4.7692309999999996
2921,2.47619054
2922,0.08
2923,0.0
2924,0.0
