geneID,id,essential
NUP37,1277,1
SEMA3A,1278,0
GTSE1,1279,1
SEMA3C,1280,0
TTC38,1281,0
ACAT1,1282,0
GRAMD4,1283,0
CELSR1,1284,1
WNT8B,1285,1
ZNF638,1286,1
SLC25A40,1287,0
TIMM21,1288,0
ADD2,1289,0
FGF4,1290,0
RASAL2,1291,0
VPS9D1,1292,1
ZNF37A,1293,0
MARK3,1294,1
SLC25A3,1295,1
FNDC3B,1296,1
FOSL2,1297,1
CACNG5,1298,0
CACNG4,1299,1
FRYL,1300,1
TMEM131,1301,0
FSCN1,1302,0
ACTB,1303,1
MOCOS,1304,0
PLD1,1305,1
ATP12A,1306,0
WDR62,1307,1
DLG1,1308,1
RAB7A,1309,1
BCAP29,1310,0
SEC31B,1311,0
SART3,1312,1
ARHGAP15,1313,1
TUBA3D,1314,0
PAX2,1315,0
EXOSC7,1316,1
KIFAP3,1317,0
MKRN2,1318,0
MCM6,1319,1
REXO2,1320,1
RBM7,1321,0
RBMS2,1322,0
BAZ2A,1323,1
PTPN23,1324,1
MLH1,1325,1
UNG,1326,0
FMO4,1327,0
KLHL20,1328,0
RGS11,1329,0
SLC46A1,1330,0
PLXNA2,1331,0
SPAG5,1332,1
ANKRD13A,1333,0
TPD52,1334,0
ACACB,1335,0
TRAF4,1336,1
PAG1,1337,0
GPATCH1,1338,1
ICAM3,1339,0
NT5C2,1340,0
MCAM,1341,0
GPC4,1342,0
MBNL3,1343,0
CAMSAP3,1344,0
RAP1GAP,1345,1
XAB2,1346,1
ARHGEF1,1347,0
STXBP2,1348,0
MAP2K7,1349,0
NMRK2,1350,0
DGKD,1351,1
CTTNBP2,1352,1
ACTL6B,1353,0
RARB,1354,1
TOP2B,1355,1
TM9SF3,1356,1
NFKB2,1357,0
UBE2T,1358,1
PPP1R12B,1359,1
DNAJC10,1360,0
GTF3C1,1361,1
IL4R,1362,0
USP33,1363,0
PAK3,1364,1
CAPN6,1365,0
DCX,1366,1
SNRPA,1367,1
SPAG6,1368,0
EXOSC5,1369,1
DYNC1I2,1370,1
APBB1IP,1371,0
LRCH4,1372,0
FAM76B,1373,1
SIRT6,1374,0
TYR,1375,0
