geneID,essential,,geneID2,essential
IBTK,NE,,ANAPC4,1
IBTK,NE,,KCNQ1,0
IBTK,NE,,TRAPPC3,1
IBTK,NE,,THRAP3,1
IBTK,NE,,PHPT1,0
IBTK,NE,,ENTPD2,0
ZNF195,NE,,LY75,0
ZNF195,NE,,ARID4B,1
ZNF195,NE,,OPN3,0
ZNF195,NE,,SDCCAG8,1
ZNF195,NE,,PTPRN,1
ZNF195,NE,,HHAT,0
ZNF195,NE,,KIF1B,0
MYCBP2,NE,,FOXC1,0
MYCBP2,NE,,TBC1D22A,0
MYCBP2,NE,,SYNE2,0
FBXL3,NE,,PLEKHH1,1
FBXL3,NE,,ATP9A,1
FBXL3,NE,,SPO11,0
FBXL3,NE,,CBLN4,1
FBXL3,NE,,CHRDL2,0
FBXL3,NE,,FAM168A,0
FBXL3,NE,,RELT,1
ITGAL,NE,,GALC,1
ITGAL,NE,,NOP58,1
ITGAL,NE,,SZRD1,1
ITGAL,NE,,KCNH2,0
ITGAL,NE,,CUL1,1
ITGAL,NE,,FAM114A2,0
ITGAL,NE,,CYFIP2,0
PDK2,E,,TAB2,0
PDK2,E,,GINM1,0
PDK2,NE,,EIF2AK2,1
PDK2,NE,,USP36,1
PDK2,NE,,KMT2C,1
PDK2,NE,,MCOLN3,0
PDK2,NE,,CCDC85A,0
PDK2,NE,,PUM2,1
ITGA3,E,,MRPL43,1
ITGA3,NE,,ITIH4,0
ITGA3,NE,,ITIH1,0
ITGA3,NE,,HPF1,0
ITGA3,NE,,ZFR,1
ITGA3,NE,,ZNF280C,0
ITGA3,NE,,NPFFR2,0
ZFX,E,,PHF21B,1
ZFX,E,,TRAF1,0
ZFX,E,,RC3H2,0
ZFX,NE,,IL17RB,0
ZFX,NE,,TRAF3IP2,0
ZFX,NE,,GYG2,0
ZFX,NE,,DCBLD2,1
ZFX,NE,,SERPINB3,0
ZFX,NE,,SOAT1,0
LAMP2,NE,,PKP2,0
LAMP2,NE,,MSH4,1
LAMP2,NE,,F7,0
LAMP2,NE,,GDI2,1
LAMP2,NE,,PRDM1,0
LAMP2,NE,,ATG5,1
LAMP2,NE,,TMCC3,0
ITGA2B,E,,PITHD1,0
ITGA2B,NE,,MTA3,1
ITGA2B,NE,,USP13,0
ITGA2B,NE,,ATP11B,0
ITGA2B,NE,,LAMC2,0
ITGA2B,NE,,CDK14,0
ITGA2B,NE,,SEC61A1,1
ITGA2B,NE,,PPP1R12A,1
ASB4,NE,,RASGRF1,0
ASB4,NE,,CAMK2B,0
ASB4,NE,,CROCC,1
ASB4,NE,,POLR3E,1
ASB4,NE,,ATP2B4,0
ASB4,NE,,ZC3H11A,1
ASB4,NE,,RIOK2,1
GDE1,NE,,YIPF1,0
GDE1,NE,,NDC1,1
GDE1,NE,,DGKG,1
GDE1,NE,,FLYWCH1,1
GDE1,NE,,UNKL,1
GDE1,NE,,TBXAS1,0
GDE1,NE,,PARP12,1
REX1BD,E,,ALDH18A1,1
REX1BD,E,,TARBP1,0
REX1BD,NE,,GATB,1
REX1BD,NE,,MXD1,1
REX1BD,NE,,CDK17,1
REX1BD,NE,,DNAJC25,0
REX1BD,NE,,SLC2A3,1
