geneID,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
PPIG,23.0212,19.729,24.1825,29.5118,26.242,23.4395,17.4969,24.6365,20.1976,27.3529,24.0477
FASTKD1,3.4231,3.5662,3.0289,6.6318,5.6673,2.4705,4.1276,3.9204,4.1735,4.6977,5.5037
MDH1B,0.8057,0.6394,0.3353,0.49,1.8026,0.3448,0.2454,0.4465,0.9957,0.3298,0.5458
HECW2,0.1602,0.4149,0.2389,0.2308,0.5094,0.5137,0.0568,0.4506,0.219,0.4438,0.811
IDH1,20.7752,47.1093,106.7841,228.2821,368.6196,24.9834,23.9193,202.8017,23.4287,158.1231,238.0846
OLA1,4.927,6.2053,4.0193,4.9142,6.0168,5.1464,5.0532,5.4263,5.0393,6.2948,5.2188
CIR1,20.3226,22.5736,24.0147,29.4487,24.2999,17.7728,16.063,28.2923,18.787,22.9686,24.6484
ITPRID2,0,0,0,0,0,0,0,0,0,0,0
CHRNA1,0.0208,0,0.0224,0,0,0.0186,0.0174,0.0405,0.0651,0,0.0515
FAM117B,2.4242,2.8204,6.4954,9.5121,8.3814,2.2067,1.2689,7.4752,1.3834,5.9175,8.7294
WDR12,2.6738,4.5857,3.6046,4.8028,4.4174,2.4978,3.7111,5.1426,6.0218,4.3931,5.7821
ABI2,16.2375,15.1143,13.2613,12.2006,12.5659,12.8875,13.8466,10.5257,13.4812,12.1501,11.3751
ITGAV,15.726,13.1725,19.066,23.6044,31.2289,18.3343,10.5876,22.4438,12.8235,23.3401,19.9718
SLC40A1,11.217,31.6771,35.4205,49.8858,47.2556,21.6989,9.4791,37.6578,22.2216,34.5033,43.9566
SLC35A5,7.1984,8.8079,8.4561,13.2028,12.191,7.4298,6.1014,11.3237,8.8322,10.3602,10.7424
SLC49A4,0,0,0,0,0,0,0,0,0,0,0
SENP7,12.0228,8.6291,9.7906,12.5321,10.8871,7.8635,6.7149,13.1263,7.9048,11.3507,10.0654
GUCA1C,0.0461,0,0,0.0617,0,0,0,2.2944,0,5.8154,36.034
CCDC54,0,0.1097,0.1421,0.1323,0.1731,0.0887,0,0.0965,0.069,0.135,0.1638
COX17,16.3409,17.7784,14.8833,13.6297,11.2534,14.1988,23.0618,12.5926,20.1458,15.7722,12.2769
PARP9,3.0175,5.6,6.8282,5.9266,5.8004,3.3003,3.4456,5.0094,7.3847,3.7974,8.6447
MNS1,1.0546,1.2976,1.1131,2.4549,2.6852,0.7753,0.3179,2.0365,1.7423,0.9842,2.5147
USP8,7.1198,7.8903,9.0351,11.7796,11.0492,8.4372,7.0318,9.7758,7.9102,9.4895,10.4823
SECISBP2L,12.9978,12.6894,13.8385,14.223,12.19,12.0214,9.0777,12.2188,11.1105,12.505,12.0736
TMOD3,6.3645,8.3627,11.1978,16.0507,19.0235,6.1654,3.6606,13.8685,7.1045,11.6409,14.8207
SPPL2A,15.4014,18.4891,23.9288,27.2162,33.2994,18.0676,12.5057,18.8232,13.0084,21.415,24.0748
GLCE,3.3759,4.136,3.7178,5.603,4.8418,2.6323,2.8059,4.5798,2.7161,4.5368,4.8862
SHF,7.0488,5.9169,4.8527,5.3886,5.2418,7.5898,5.9603,4.2946,5.9786,4.3733,4.3453
APH1B,5.6273,7.3264,8.4827,10.1559,12.5013,5.9577,4.4315,10.5897,4.1711,8.7471,12.0187
INTS14,0,0,0,0,0,0,0,0,0,0,0
CILP,48.8085,12.2345,12.3112,4.2672,13.1984,83.8225,29.751,44.6602,21.8387,6.9735,9.2746
PARP16,9.884,11.9829,11.1529,12.7051,8.7959,10.296,8.7429,10.2312,10.1416,8.6016,14.2829
PPCDC,2.7689,2.8455,4.1004,6.2768,6.4104,2.1895,3.1079,5.2698,3.7197,3.4474,6.5672
HCN4,0.0118,0.0098,0.0127,0.0316,0.0077,0.0212,0.0297,0.0173,0.0247,0.0242,0.0073
SEMA7A,1.114,1.3893,2.3463,1.5567,2.9406,1.2097,0.9848,3.3804,2.1745,2.9488,3.7818
UBL7,30.8207,37.5217,32.1706,28.9982,31.0994,31.8128,39.9605,29.4516,34.4012,27.4434,27.989
ARHGAP24,6.7659,6.4428,5.4834,2.9938,3.5285,5.8103,4.9053,3.347,6.0383,3.252,2.7046
FAM13A,9.0915,7.8591,14.3015,22.2506,14.7538,9.0181,6.6293,15.5902,14.2489,14.0028,19.2821
HERC3,11.9617,12.9164,12.5823,12.2703,7.7355,13.5777,11.6385,8.9368,9.1529,9.2072,10.1131
HERC6,2.5893,3.1925,2.7296,4.1098,4.3777,1.9477,0.9005,4.43,1.8471,2.8472,9.0476
HERC5,3.7895,6.4221,5.4417,3.5098,2.997,3.7351,6.0929,5.1766,3.7466,4.6832,6.2449
PCDH10,3.3366,1.8635,0.3853,0.6642,0.8816,1.7347,1.761,0.6765,0.313,1.0101,0.4534
NDST4,0.0255,0,0.0137,0.0512,0.0838,0.0114,0,0.0124,0,0.0313,0.2378
ZGRF1,0,0,0,0,0,0,0,0,0,0,0
AP1AR,8.5101,8.0021,8.2805,15.37,12.2866,8.814,7.1761,10.5467,9.1595,9.5974,11.1886
COPS4,20.3088,24.1694,20.0849,21.455,23.5799,20.8566,24.6126,20.6882,21.9762,19.6232,21.4026
HNRNPD,53.784,47.1033,54.2809,84.0435,70.1455,54.6964,43.5701,70.4884,54.2825,66.9353,72.5487
PRKG2,0.0641,0.0959,0.4004,0.5146,2.2212,0.1149,0.0322,1.1504,0.1341,0.9446,0.9394
RASGEF1B,1.4104,1.3289,2.9164,2.5158,1.9498,1.3319,0.8504,2.3476,3.1461,1.2316,1.6582
