name,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12
YDR303C,0.981443624,1.119669,1.229072829,1.006792188,0.971312364,1.325875918,1.154226303,1.092694839,1.69289275,1.127041141,1.105332116,1.460548361
YDR304C,11.64885839,11.99631087,9.984037717,9.849774361,9.145486356,8.781305473,7.559401512,8.597242674,11.97836145,13.17860953,9.237377962,10.3935461
YDR305C,3.742619276,4.036073844,3.545756976,3.403837999,2.816695055,3.056161324,2.260907729,2.325642109,2.689145009,2.923936049,2.635872125,2.910363754
YDR306C,3.444127321,3.204876582,4.547196388,4.012422562,3.906724532,4.18032074,3.782946984,2.322124004,1.999476552,1.995424986,2.003360748,1.925218622
YDR307W,3.372959058,3.777354081,3.81933554,3.953645945,4.037613789,4.068609238,3.265009006,2.426743587,2.060963353,4.028411706,3.312787533,3.052464008
YDR308C,2.152149161,1.824363987,2.301876346,2.1693422,1.926502427,2.158384959,1.603391568,2.75038135,2.25591592,2.509325822,2.649678628,2.991144101
YDR309C,1.342039466,0.201884955,0.328215321,0.266742055,0.201636178,0.223490144,0.198104501,0.942118049,3.990994374,2.758400321,2.10930264,1.93874069
YDR310C,3.112870614,2.522057216,3.792584658,3.961396853,4.12815245,4.601731459,4.238018751,4.686688105,5.626161893,3.81766669,3.792038997,3.4314785
YDR311W,0.553913285,1.166108807,1.324646711,1.340655446,1.461634834,1.581392169,1.228172362,1.368685166,1.093785842,1.200230956,0.9093195,0.827912609
YDR312W,0,0,0,0,0,0,0,0,0,0,0,0
YDR313C,3.526081006,4.282707691,4.219612996,4.167046547,4.487827301,4.682694118,4.596240044,3.028637886,2.293960373,2.493724902,2.410186132,2.331905842
YDR314C,0,0,0,0,0,0,0,0,0,0,0,0
YDR315C,0,0,0,0,0,0,0,0,0,0,0,0
YDR316W,7.849653721,2.979024092,1.787532648,1.421057741,1.445296963,1.304036419,1.42407612,1.417024731,2.932177464,5.686240673,6.048075994,5.854111194
YDR317W,0.472985884,0.559052775,0.612193406,0.459396521,0.625617445,0.553534369,0.567379564,0.734825949,0.629146566,0.452976465,0.476160169,0.409120987
YDR318W,1.247968396,1.397123297,1.062200666,1.048978726,1.282797178,1.158904671,0.943177501,0.817483664,0.513667087,0.887630085,1.008776883,1.021783809
YDR319C,1.819475214,2.167316516,2.159223318,2.227396488,2.083241582,2.09957393,1.867759069,1.374708175,0.999356806,1.58788236,1.716070295,1.665046613
YDR320C,0.843489289,0.825043818,0.757489622,0.784605225,0.71799459,0.711396774,0.692437649,0.661539197,0.430237303,0.565192382,0.560426355,0.641314546
YDR321W,4.417660554,2.358890375,3.823477507,3.526024501,3.611058871,3.589028994,4.721002102,9.280791282,10.20191304,3.932676872,4.069866498,4.394873937
YDR322C-A,33.03358396,22.69066302,20.02210808,16.63905811,16.81260904,14.8299284,14.46102333,13.57671928,23.26615779,26.33979797,28.01322301,26.38554954
YDR322W,5.439069589,3.213293632,1.678350409,1.282720447,1.111060897,1.070407033,1.11187617,1.449016293,3.156838179,5.08040905,5.896689892,5.633029143
YDR323C,0,0,0,0,0,0,0,0,0,0,0,0
