,DC
1715,6.0
1716,1.0
1717,0.0
1718,0.0
1719,1.0
1720,3.0
1721,6.0
1722,6.0
1723,0.0
1724,1.0
1725,0.0
1726,2.0
1727,10.2
1728,4.0
1729,1.75
1730,4.6
1731,1.0
1732,2.8
1733,0.0
1734,1.0
1735,2.0
1736,5.6
1737,2.6
1738,11.4
1739,16.8
1740,3.0
1741,2.2
1742,1.0
1743,4.6
1744,2.4
1745,5.0
1746,28.4
1747,1.0
1748,0.0
1749,1.2
1750,0.0
1751,1.0
1752,0.0
1753,23.6
1754,4.0
1755,4.8
1756,8.25
1757,7.0
1758,3.0
1759,0.0
1760,13.6
1761,4.0
1762,1.0
1763,0.0
1764,16.0
1765,7.8
1766,1.0
1767,1.8
1768,14.8
1769,5.4
1770,1.0
1771,0.0
1772,3.0
1773,1.0
1774,1.0
1775,1.6666666666666667
1776,1.4
1777,5.0
1778,0.0
1779,2.8
1780,0.0
1781,1.2
1782,6.6
1783,2.0
1784,5.2
1785,7.0
1786,1.0
1787,0.0
1788,9.0
1789,2.8
1790,1.0
1791,6.8
1792,0.0
1793,0.0
1794,9.6
1795,0.0
1796,2.0
1797,1.0
1798,1.0
1799,3.4
1800,1.8
1801,1.0
1802,0.0
1803,2.6
1804,7.6
1805,1.0
1806,3.0
1807,1.6
1808,14.2
1809,2.4
1810,2.0
1811,6.4
1812,1.0
1813,4.8
1814,4.0
1815,16.0
1816,4.0
1817,2.0
1818,2.0
1819,2.4
1820,3.0
1821,0.0
1822,2.0
1823,3.0
1824,1.0
1825,1.0
1826,1.0
1827,1.0
1828,1.0
1829,2.0
1830,0.0
1831,0.0
1832,1.0
1833,1.0
1834,0.0
1835,0.0
1836,36.8
1837,0.0
1838,0.0
1839,0.0
1840,1.0
1841,4.0
1842,3.6
1843,1.8
1844,0.0
1845,5.0
1846,1.0
1847,3.4
1848,1.0
1849,2.2
1850,2.2
1851,6.0
1852,2.2
1853,0.0
1854,1.0
1855,0.0
1856,2.0
1857,1.0
1858,0.0
1859,4.0
1860,0.0
1861,2.0
1862,0.0
1863,2.0
1864,3.6
1865,3.2
1866,2.0
1867,21.6
1868,4.0
1869,0.0
1870,1.75
1871,2.4
1872,1.4
1873,2.0
1874,2.6
1875,0.0
1876,7.6
1877,2.8
1878,0.0
1879,0.0
1880,2.8
1881,0.0
1882,7.2
1883,44.0
1884,19.8
1885,11.4
1886,8.0
1887,13.0
1888,15.2
1889,2.0
1890,2.6
1891,1.4
1892,1.0
1893,1.6
1894,27.8
1895,24.2
1896,1.0
1897,1.0
1898,1.8
1899,4.4
1900,1.0
1901,2.0
1902,15.0
1903,1.0
1904,1.0
1905,4.0
1906,1.4
1907,22.2
1908,16.4
1909,0.0
1910,1.0
1911,4.0
1912,1.0
1913,0.0
1914,1.0
1915,2.6
1916,5.0
1917,2.0
1918,1.0
1919,0.0
1920,3.0
1921,8.6
1922,0.0
1923,22.0
1924,0.0
1925,2.0
1926,6.0
1927,2.8
1928,0.0
1929,0.0
1930,1.0
1931,6.0
