,BC
2275,0.0
2276,1849.88053
2277,3025.31126
2278,20578.2598
2279,18676.5208
2280,26044.472159999998
2281,0.0
2282,0.0
2283,2380.1762400000002
2284,0.0
2285,6274.0
2286,6304.666666666667
2287,13.925967199999999
2288,35560.768200000006
2289,774.02015
2290,0.0
2291,0.0
2292,0.0
2293,0.0
2294,4602.34539
2295,0.0
2296,0.0
2297,976.7493999999999
2298,0.0
2299,686.4010000000001
2300,0.0
2301,0.0
2302,0.0
2303,0.0
2304,0.0
2305,4374.11288
2306,0.0
2307,0.0
2308,6812.36482
2309,9147.12184
2310,1083.90214
2311,4978.414754
2312,917.7196
2313,0.0
2314,10107.239199999998
2315,0.0
2316,0.0
2317,0.0
2318,0.0
2319,16677.8353
2320,0.0
2321,0.0
2322,0.0
2323,0.0
2324,30842.224600000005
2325,0.0
2326,1565.33232
2327,0.0
2328,8764.4
2329,1385.9235460000002
2330,0.0
2331,0.0
2332,0.0
2333,245.30632999999997
2334,0.0
2335,0.0
2336,0.0
2337,7186.053199999999
2338,204660.66
2339,0.0
2340,5882.132299999999
2341,0.0
2342,0.0
2343,0.0
2344,0.0
2345,0.0
2346,0.0
2347,14466.069800000001
2348,2875.3731000000002
2349,0.0
2350,1499.0878799999998
2351,1230.377254
2352,0.0
2353,0.0
2354,673.5853020000001
2355,0.0
2356,715.2685600000001
2357,0.0
2358,0.0
2359,0.0
2360,993.50108
2361,244755.752
2362,0.0
2363,1875.7908400000001
2364,0.0
2365,0.0
2366,14366.151160000003
2367,3863.06837
2368,0.0
2369,1402.25116
2370,0.0
2371,931.00486
2372,0.0
2373,31.537569400000002
2374,0.0
2375,1683.6719666666668
2376,4606.576279999999
2377,0.0
2378,0.0
2379,4226.531540000001
2380,0.0
2381,0.0
2382,0.0
2383,0.0
2384,4472.196672
2385,39.079108
2386,0.0
2387,24754.7448
2388,0.0
2389,0.0
2390,0.0
2391,0.0
2392,0.0
2393,11133.90718
2394,944.7474333333333
2395,16241.045600000001
2396,97.741675
2397,7272.129146000001
2398,0.0
2399,2345.5083799999998
2400,7106.864599999999
2401,0.0
2402,19.6644215
2403,7468.62045
2404,153.519642
2405,7476.79388
2406,0.0
2407,10126.873307999998
2408,0.0
2409,2168.680142
2410,0.0
2411,0.0
2412,1173.387924
2413,4845.33384
2414,0.0
2415,0.0
2416,78327.14580000001
2417,25376.107999999997
2418,0.0
2419,0.0
2420,0.0
2421,0.0
2422,0.0
2423,0.0
2424,9354.3528
2425,11765.41352
2426,18814.344
2427,11474.6972
2428,153273.20399999997
2429,0.0
2430,224.44301000000002
2431,0.0
2432,499.30838000000006
2433,8303.6091
2434,5024.100120000001
2435,242.24509199999997
2436,0.0
2437,192.910626
2438,13159.9336
2439,0.0
2440,0.0
2441,22699.8172
2442,0.0
2443,0.0
2444,0.0
2445,0.0
2446,0.0
2447,0.0
2448,0.0
2449,0.0
2450,2872.7712774
2451,8847.3402
2452,9906.646099999998
2453,697.859756
2454,6274.0
2455,12852.981
2456,6805.82794
2457,62478.489199999996
2458,1580.4812499999998
2459,0.0
2460,0.0
2461,0.0
2462,1561.2747
2463,0.0
2464,3779.351733333333
2465,6848.990520000001
2466,0.0
2467,121.41689219999998
2468,10602.2534
2469,0.0
2470,0.0
2471,6800.528180000001
2472,0.0
2473,0.0
2474,0.0
2475,0.0
2476,0.0
2477,0.0
2478,0.0
2479,0.0
2480,0.0
2481,0.0
2482,0.0
2483,0.0
2484,0.0
2485,442.1594
2486,17290.284750000003
2487,20571.2025
2488,4881.04892
2489,0.0
2490,58390.0795
2491,0.0
2492,8.551406700000001
2493,10095.519534000001
